Destination Country,Destination City/Port,"ORIGIN                       (Port of Loading)          3 Only -        Toronto, Montreal, Vancouver",DESTINATION                (Port of Unloading)   Various,Sailing Frequency,Transit Time (Days)             (Port to Port),Ocean Freight Charges PER CBM Rate (USD),(Minimim Ocean Freight Charges/ shipment)
U.S.A.,HONOLULU VIA AUCKLAND,Vancouver,HLU,Weekly,40,527.5,547.5
UGANDA,KAMPALA VIA DUBAI,Montreal,KLA,Weekly,58,387,387
UGANDA,KAMPALA VIA DUBAI,Toronto,KLA,Weekly,58,387,387
UGANDA,KAMPALA VIA DUBAI,Vancouver,KLA,Weekly,58,447,447
UNITED KINGDOM,ABERDEEN VIA ANTWERP,Montreal,ABD,Weekly,20,244.5,409.5
UNITED KINGDOM,ABERDEEN VIA ANTWERP,Toronto,ABD,Weekly,20,249.5,419.5
UNITED KINGDOM,ABERDEEN VIA ANTWERP,Vancouver,ABD,Weekly,20,299.5,464.5
UNITED KINGDOM,GLASGOW VIA ANTWERP,Montreal,GLW,Weekly,18,189.5,219.5
UNITED KINGDOM,GLASGOW VIA ANTWERP,Toronto,GLW,Weekly,18,194.5,224.5
UNITED KINGDOM,GLASGOW VIA ANTWERP,Vancouver,GLW,Weekly,18,239.5,259.5
UNITED KINGDOM,LIVERPOOL,Montreal,LIV,Weekly,7,82,82
UNITED KINGDOM,LIVERPOOL,Toronto,LIV,Weekly,7,87,87
UNITED KINGDOM,LIVERPOOL,Vancouver,LIV,Weekly,7,137,137
UNITED KINGDOM,LONDON VIA LIVERPOOL,Montreal,LON,Weekly,10,92,92
UNITED KINGDOM,LONDON VIA LIVERPOOL,Toronto,LON,Weekly,10,97,97
UNITED KINGDOM,LONDON VIA LIVERPOOL,Vancouver,LON,Weekly,10,137,137
URUGUAY,MONTEVIDEO VIA MIAMI,Montreal,MVD,Weekly,24,207.5,207.5
URUGUAY,MONTEVIDEO VIA MIAMI,Toronto,MVD,Weekly,24,207.5,207.5
URUGUAY,MONTEVIDEO VIA MIAMI,Vancouver,MVD,Weekly,24,272.5,272.5
VENEZUELA,LA GUAIRA VIA MIAMI,Montreal,LAG,Weekly,8,205,205
VENEZUELA,LA GUAIRA VIA MIAMI,Toronto,LAG,Weekly,8,205,205
VENEZUELA,LA GUAIRA VIA MIAMI,Vancouver,LAG,Weekly,8,265,265
VENEZUELA,MARACAIBO VIA MIAMI,Montreal,MRC,Weekly,9,270,270
VENEZUELA,MARACAIBO VIA MIAMI,Toronto,MRC,Weekly,9,270,270
VENEZUELA,MARACAIBO VIA MIAMI,Vancouver,MRC,Weekly,9,330,330
VENEZUELA,PUERTO CABELLO VIA MIAMI,Montreal,PBL,Weekly,7,225,225
VENEZUELA,PUERTO CABELLO VIA MIAMI,Toronto,PBL,Weekly,7,225,225
VENEZUELA,PUERTO CABELLO VIA MIAMI,Vancouver,PBL,Weekly,7,275,275
VIETNAM,DANANG VIA SINGAPORE,Montreal,DAD,Weekly,45,190,190
VIETNAM,DANANG VIA SINGAPORE,Toronto,DAD,Weekly,45,190,190
VIETNAM,DANANG VIA SINGAPORE,Vancouver,DAD,Weekly,45,185,185
VIETNAM,HAIPHONG VIA BUSAN,Montreal,HPH,Weekly,26,155,155
VIETNAM,HAIPHONG VIA BUSAN,Toronto,HPH,Weekly,26,155,155
VIETNAM,HAIPHONG VIA BUSAN,Vancouver,HPH,Weekly,26,160,160
VIETNAM,HANOI VIA SINGAPORE,Montreal,HAN,Weekly,47,200,260
VIETNAM,HANOI VIA SINGAPORE,Toronto,HAN,Weekly,47,200,260
VIETNAM,HANOI VIA SINGAPORE,Vancouver,HAN,Weekly,47,205,265
VIETNAM,HO CHI MINH VIA BUSAN,Montreal,SGN,Weekly,26,110,110
VIETNAM,HO CHI MINH VIA BUSAN,Toronto,SGN,Weekly,26,110,110
VIETNAM,HO CHI MINH VIA BUSAN,Vancouver,SGN,Weekly,26,125,125
VIRGIN ISLANDS,"ROAD TOWN, TorontoTOLA VIA MIAMI",Montreal,RAD,Weekly,15,315,375
VIRGIN ISLANDS,"ROAD TOWN, TorontoTOLA VIA MIAMI",Toronto,RAD,Weekly,15,315,375
VIRGIN ISLANDS,"ROAD TOWN, TorontoTOLA VIA MIAMI",Vancouver,RAD,Weekly,25,355,415
VIRGIN ISLANDS,ST. CROIX (CHRISTIANSTED) VIA MIAMI,Montreal,CTD,Weekly,3,335,395
VIRGIN ISLANDS,ST. CROIX (CHRISTIANSTED) VIA MIAMI,Toronto,CTD,Weekly,3,335,395
VIRGIN ISLANDS,ST. CROIX (CHRISTIANSTED) VIA MIAMI,Vancouver,CTD,Weekly,3,405,435
VIRGIN ISLANDS,ST. THOMAS VIA MIAMI,Montreal,STT,Weekly,10,295,395
VIRGIN ISLANDS,ST. THOMAS VIA MIAMI,Toronto,STT,Weekly,10,295,395
VIRGIN ISLANDS,ST. THOMAS VIA MIAMI,Vancouver,STT,Weekly,17,335,435
WEST INDIES,BONAIRE KRALENDIJK VIA MIAMI,Montreal,BON,Weekly,13,470,470
WEST INDIES,BONAIRE KRALENDIJK VIA MIAMI,Toronto,BON,Weekly,13,470,470
WEST INDIES,BONAIRE KRALENDIJK VIA MIAMI,Vancouver,BON,Weekly,23,535,535
WEST INDIES,KRALENDIJK BONAIRE VIA MIAMI,Montreal,KRA,Weekly,5,482.5,482.5
WEST INDIES,KRALENDIJK BONAIRE VIA MIAMI,Toronto,KRA,Weekly,5,470,470
WEST INDIES,KRALENDIJK BONAIRE VIA MIAMI,Vancouver,KRA,Weekly,5,535,535
YEMEN,ADEN VIA DUBAI,Montreal,ADE,Bi Weekly,43,177,177
YEMEN,ADEN VIA DUBAI,Toronto,ADE,Bi Weekly,43,182,182
YEMEN,ADEN VIA DUBAI,Vancouver,ADE,Bi Weekly,43,242,242
YEMEN,HODEIDAH VIA DUBAI,Montreal,HOD,Bi Weekly,49,182,182
YEMEN,HODEIDAH VIA DUBAI,Toronto,HOD,Bi Weekly,49,182,182
YEMEN,HODEIDAH VIA DUBAI,Vancouver,HOD,Bi Weekly,49,232,232
YUGOSLAVIA,BELGRADE VIA HAMBURG,Montreal,BEG,Weekly,23,224.5,354.5
YUGOSLAVIA,BELGRADE VIA HAMBURG,Toronto,BEG,Weekly,23,229.5,359.5
YUGOSLAVIA,BELGRADE VIA HAMBURG,Vancouver,BEG,Weekly,23,284.5,444.5
ZAMBIA,KITWE VIA ANTWERP,Montreal,KIW,Weekly,64,592,612
ZAMBIA,KITWE VIA ANTWERP,Toronto,KIW,Weekly,64,597,617
ZAMBIA,KITWE VIA ANTWERP,Vancouver,KIW,Weekly,64,647,667
ZAMBIA,LUSAKA VIA ANTWERP,Montreal,LUN,Weekly,64,494.5,634.5
ZAMBIA,LUSAKA VIA ANTWERP,Toronto,LUN,Weekly,64,499.5,639.5
ZAMBIA,LUSAKA VIA ANTWERP,Vancouver,LUN,Weekly,64,524.5,679.5
ZAMBIA,NDOLA VIA ANTWERP,Montreal,NLA,Weekly,64,592,612
ZAMBIA,NDOLA VIA ANTWERP,Toronto,NLA,Weekly,64,597,617
ZAMBIA,NDOLA VIA ANTWERP,Vancouver,NLA,Weekly,64,647,672
ZIMBABWE,BULAWAYO VIA ANTWERP,Montreal,BUQ,Weekly,64,569.5,724.5
ZIMBABWE,BULAWAYO VIA ANTWERP,Toronto,BUQ,Weekly,64,574.5,729.5
ZIMBABWE,BULAWAYO VIA ANTWERP,Vancouver,BUQ,Weekly,64,624.5,779.5
ZIMBABWE,HARARE VIA ANTWERP,Montreal,HRE,Weekly,64,454.5,559.5
ZIMBABWE,HARARE VIA ANTWERP,Toronto,HRE,Weekly,64,459.5,564.5
ZIMBABWE,HARARE VIA ANTWERP,Vancouver,HRE,Weekly,64,509.5,624.5
