Destination Country,Destination City/Port,"ORIGIN                       (Port of Loading)          3 Only -        Toronto, Montreal, Vancouver",DESTINATION                (Port of Unloading)   Various,Sailing Frequency,Transit Time (Days)             (Port to Port),Ocean Freight Charges PER CBM Rate (USD),(Minimim Ocean Freight Charges/ shipment)
CHILE,IQUIQUE VIA SAN ANTONIO,Toronto,IQQ,Weekly,36,255,255
CHILE,IQUIQUE VIA SAN ANTONIO,Vancouver,IQQ,Weekly,43,315,315
CHILE,SAN ANTONIO,Montreal,SAI,Weekly,21,155,155
CHILE,SAN ANTONIO,Toronto,SAI,Weekly,21,155,155
CHILE,SAN ANTONIO,Vancouver,SAI,Weekly,21,205,205
CHILE,SANTIAGO VIA SAN ANTONIO,Montreal,ULC,Weekly,23,200,225
CHILE,SANTIAGO VIA SAN ANTONIO,Toronto,ULC,Weekly,23,200,225
CHILE,SANTIAGO VIA SAN ANTONIO,Vancouver,ULC,Weekly,23,285,355
CHINA,ANQING VIA SHANGHAI,Montreal,AQG,Weekly,31,180,230
CHINA,ANQING VIA SHANGHAI,Toronto,AQG,Weekly,31,180,230
CHINA,ANQING VIA SHANGHAI,Vancouver,AQG,Weekly,31,175,225
CHINA,BEIJING VIA BUSAN,Montreal,PEK,Weekly,25,155,155
CHINA,BEIJING VIA BUSAN,Toronto,PEK,Weekly,25,155,155
CHINA,BEIJING VIA BUSAN,Vancouver,PEK,Weekly,25,155,155
CHINA,BENGBU VIA SHANGHAI,Montreal,BFU,Weekly,31,195,260
CHINA,BENGBU VIA SHANGHAI,Toronto,BFU,Weekly,31,195,260
CHINA,BENGBU VIA SHANGHAI,Vancouver,BFU,Weekly,31,190,255
CHINA,CHANGSHA (HUNAN) VIA SHANGHAI,Montreal,CSX,Weekly,31,195,260
CHINA,CHANGSHA (HUNAN) VIA SHANGHAI,Toronto,CSX,Weekly,31,195,260
CHINA,CHANGSHA (HUNAN) VIA SHANGHAI,Vancouver,CSX,Weekly,31,190,255
CHINA,CHANGSHU VIA SHANGHAI,Montreal,CGU,Weekly,40,150,150
CHINA,CHANGSHU VIA SHANGHAI,Toronto,CGU,Weekly,40,150,150
CHINA,CHANGSHU VIA SHANGHAI,Vancouver,CGU,Weekly,38,140,140
CHINA,CHANGZHOU VIA SHANGHAI,Montreal,CHZ,Weekly,27,150,150
CHINA,CHANGZHOU VIA SHANGHAI,Toronto,CHZ,Weekly,27,150,150
CHINA,CHANGZHOU VIA SHANGHAI,Vancouver,CHZ,Weekly,27,145,145
CHINA,CHENGDU (SICHUAN) VIA SHANGHAI ,Montreal,CTU,Weekly,31,225,320
CHINA,CHENGDU (SICHUAN) VIA SHANGHAI ,Toronto,CTU,Weekly,31,225,320
CHINA,CHENGDU (SICHUAN) VIA SHANGHAI ,Vancouver,CTU,Weekly,31,320,400
CHINA,CHONGQING VIA SHANGHAI,Montreal,CKG,Weekly,41,225,445
CHINA,CHONGQING VIA SHANGHAI,Toronto,CKG,Weekly,41,225,445
CHINA,CHONGQING VIA SHANGHAI,Vancouver,CKG,Weekly,34,220,440
CHINA,DALIAN VIA BUSAN,Montreal,DLC,Weekly,24,135,135
CHINA,DALIAN VIA BUSAN,Toronto,DLC,Weekly,24,135,135
CHINA,DALIAN VIA BUSAN,Vancouver,DLC,Weekly,24,125,125
CHINA,DONGGUAN (GUANGDONG) DESTINATIONS VIA HKG,Toronto,DGG,Weekly,27,5,5
CHINA,DONGGUAN (GUANGDONG) DESTINATIONS VIA HKG,Vancouver,DGG,Weekly,27,5,5
CHINA,DONGTAI VIA SHANGHAI,Montreal,DGT,Weekly,29,165,165
CHINA,DONGTAI VIA SHANGHAI,Toronto,DGT,Weekly,29,165,165
CHINA,DONGTAI VIA SHANGHAI,Vancouver,DGT,Weekly,29,160,160
CHINA,FUZHOU (FUJIAN) VIA HONG KONG,Montreal,FOC,Weekly,29,145,145
CHINA,FUZHOU (FUJIAN) VIA HONG KONG,Toronto,FOC,Weekly,29,145,145
CHINA,FUZHOU (FUJIAN) VIA HONG KONG,Vancouver,FOC,Weekly,29,145,145
CHINA,"GUANGZHOU, JIAOXIN VIA HONG KONG",Montreal,CAN,Weekly,27,155,255
CHINA,"GUANGZHOU, JIAOXIN VIA HONG KONG",Toronto,CAN,Weekly,27,155,255
CHINA,"GUANGZHOU, JIAOXIN VIA HONG KONG",Vancouver,CAN,Weekly,27,155,255
CHINA,HAIKOU (HUBEI) DESTINATIONS VIA HKG,Montreal,HAO,Weekly,31,170,355
CHINA,HAIKOU (HUBEI) DESTINATIONS VIA HKG,Toronto,HAO,Weekly,31,170,355
CHINA,HAIKOU (HUBEI) DESTINATIONS VIA HKG,Vancouver,HAO,Weekly,31,170,355
CHINA,HARBIN VIA HONG KONG,Montreal,HRB,Weekly,40,215,385
CHINA,HARBIN VIA HONG KONG,Toronto,HRB,Weekly,40,215,385
CHINA,HARBIN VIA HONG KONG,Vancouver,HRB,Weekly,40,210,380
CHINA,HEFEI VIA SHANGHAI,Montreal,HFE,Weekly,28,165,165
CHINA,HEFEI VIA SHANGHAI,Toronto,HFE,Weekly,28,165,165
CHINA,HEFEI VIA SHANGHAI,Vancouver,HFE,Weekly,28,160,160
CHINA,HONG KONG ,Montreal,HKG,Weekly,19,110,110
CHINA,HONG KONG ,Toronto,HKG,Weekly,19,110,110
CHINA,HONG KONG ,Vancouver,HKG,Weekly,19,95,95
CHINA,HUAIYIN VIA SHANGHAI,Montreal,HYI,Weekly,28,175,220
CHINA,HUAIYIN VIA SHANGHAI,Toronto,HYI,Weekly,28,175,220
CHINA,HUAIYIN VIA SHANGHAI,Vancouver,HYI,Weekly,28,170,215
CHINA,"HUANGPU, NEWPORT(GUANGDONG) DEST. VIA HKG",Montreal,HUA,Weekly,27,140,140
CHINA,"HUANGPU, NEWPORT(GUANGDONG) DEST. VIA HKG",Toronto,HUA,Weekly,27,140,140
CHINA,"HUANGPU, NEWPORT(GUANGDONG) DEST. VIA HKG",Vancouver,HUA,Weekly,27,140,140
CHINA,JIANGMEN (GUANGDONG) DESTINATIONS VIA HKG,Montreal,JIA,Weekly,27,165,165
CHINA,JIANGMEN (GUANGDONG) DESTINATIONS VIA HKG,Toronto,JIA,Weekly,27,165,165
CHINA,JIANGMEN (GUANGDONG) DESTINATIONS VIA HKG,Vancouver,JIA,Weekly,27,160,160
CHINA,JINAN VIA SHANGHAI,Montreal,TNA,Weekly,31,205,280
CHINA,JINAN VIA SHANGHAI,Toronto,TNA,Weekly,31,205,280
CHINA,JINAN VIA SHANGHAI,Vancouver,TNA,Weekly,31,190,275
CHINA,JINZHOU VIA HONG KONG,Montreal,JIZ,Weekly,39,175,220
CHINA,JINZHOU VIA HONG KONG,Toronto,JIZ,Weekly,39,175,220
CHINA,JINZHOU VIA HONG KONG,Vancouver,JIZ,Weekly,39,170,215
CHINA,JIUJIANG (GUANGDONG) VIA SHANGHAI,Montreal,JIU,Weekly,31,190,250
CHINA,JIUJIANG (GUANGDONG) VIA SHANGHAI,Toronto,JIU,Weekly,31,190,250
CHINA,JIUJIANG (GUANGDONG) VIA SHANGHAI,Vancouver,JIU,Weekly,31,185,245
CHINA,KAIFENG VIA SHANGHAI,Montreal,KAI,Weekly,31,195,260
CHINA,KAIFENG VIA SHANGHAI,Toronto,KAI,Weekly,31,195,260
CHINA,KAIFENG VIA SHANGHAI,Vancouver,KAI,Weekly,31,190,255
CHINA,KUNSHAN VIA SHANGHAI,Montreal,KUS,Weekly,27,155,155
CHINA,KUNSHAN VIA SHANGHAI,Toronto,KUS,Weekly,27,155,155
CHINA,KUNSHAN VIA SHANGHAI,Vancouver,KUS,Weekly,27,150,150
CHINA,LIANYUNGANG VIA SHANGHAI,Montreal,LYG,Weekly,28,200,200
CHINA,LIANYUNGANG VIA SHANGHAI,Toronto,LYG,Weekly,28,200,200
CHINA,LIANYUNGANG VIA SHANGHAI,Vancouver,LYG,Weekly,28,170,245
CHINA,MACAU VIA HKG,Montreal,MAC,Weekly,27,145,145
CHINA,MACAU VIA HKG,Toronto,MAC,Weekly,27,145,145
CHINA,MACAU VIA HKG,Vancouver,MAC,Weekly,27,145,145
